title,category,url
Microsoft Purview Suite License value overview,Favorites bar / Azure,https://microsoft.seismic.com/apps/doccenter/ac87b24f-8f93-43d4-be30-469d80d63c18/doc/%2Fddede3166e-02c7-9b96-dd45-fabc8e27d5f4%2FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%2CPT0%3D%2CUHJvZHVjdCBQaXRjaCBEZWNr%2Flfad219edd-9eb2-4f06-b8b8-729c745772e1//?mode=view&searchId=8a54f367-79b3-44cc-8eb8-ae7dfb72399c
Frontier Transformation,Favorites bar / Copilot,https://microsoft.seismic.com/apps/doccenter/a5266a70-9230-4c1e-a553-c5bddcb7a896/doc/%252Fdde0caec0e-9236-f21b-2991-5868e63d3984%252FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%252CPT0%253D%252CUmVzb3VyY2UgUGFnZQ%253D%253D%252Flf3c6dc030-ec63-454a-a675-b1d21ee8ab74/grid/?anchorId=60540769-6c7a-474d-8ee2-7f3496bcf584
Microsoft Copilot Studio,Favorites bar / MS,https://microsoft.seismic.com/apps/doccenter/063a38f4-06e8-404d-bcfb-362e97a9acc3/doc/%2Fdd75d82158-cdba-b738-2498-b80d66095039%2FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%2CPT0%3D%2CUHJvZHVjdCBQYWdl%2Flf4d3a9746-56db-4d35-a968-5e04e7bb5bdf//?anchorId=3c6ca013-4abd-4eca-ab4c-6eb8436b6f74
NEWS,Favorites bar / MS,https://microsoft.seismic.com/apps/doccenter/a5266a70-9230-4c1e-a553-c5bddcb7a896/doc/%252Fdde0caec0e-9236-f21b-2991-5868e63d3984%252FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%252CPT0%253D%252CUmVzb3VyY2UgUGFnZQ%253D%253D%252Flf3c6dc030-ec63-454a-a675-b1d21ee8ab74/grid/?anchorId=6c02dc59-5404-4063-bc9e-61737db4ea65
[Build PPT],Favorites bar / MS,https://microsoft.seismic.com/app#/workspace/main//grid/?viewType=DraftPresentations
Seismic DocCenter,Favorites bar / MS / Seismic / Cloud and AI Platforms,https://microsoft.seismic.com/apps/doccenter/a5266a70-9230-4c1e-a553-c5bddcb7a896/profileview-landing
Power Platform,Favorites bar / MS,https://microsoft.seismic.com/apps/doccenter/063a38f4-06e8-404d-bcfb-362e97a9acc3/doc/%252Fdd75d82158-cdba-b738-2498-b80d66095039%252FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%252CPT0%253D%252CUHJvZHVjdCBQYWdl%252Flf54949ebd-90ef-40bb-b9e9-5a84cd7dedff//?anchorId=1b759255-e1b4-4366-8143-8076e6633723
Microsoft Copilot Studio,Favorites bar / MS,https://microsoft.seismic.com/apps/doccenter/063a38f4-06e8-404d-bcfb-362e97a9acc3/doc/%252Fdd75d82158-cdba-b738-2498-b80d66095039%252FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%252CPT0%253D%252CUHJvZHVjdCBQYWdl%252Flf4d3a9746-56db-4d35-a968-5e04e7bb5bdf//?anchorId=ca4ad807-7a1f-4fbd-a0af-012d18f6d3fc
Microsoft Copilot Studio,Favorites bar / MS,https://microsoft.seismic.com/apps/doccenter/063a38f4-06e8-404d-bcfb-362e97a9acc3/doc/%252Fdd75d82158-cdba-b738-2498-b80d66095039%252FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%252CPT0%253D%252CUHJvZHVjdCBQYWdl%252Flf4d3a9746-56db-4d35-a968-5e04e7bb5bdf//?anchorId=5a8dfece-2837-42ee-9f1c-09e924cc409a
Cloud Accelerate Factory,Favorites bar / MS / azure,https://microsoft.seismic.com/apps/doccenter/a5266a70-9230-4c1e-a553-c5bddcb7a896/doc/%252Fdde0caec0e-9236-f21b-2991-5868e63d3984%252FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%252CPT0%253D%252CUmVzb3VyY2UgUGFnZQ%253D%253D%252Flf94c48f62-4386-47f9-aaf4-0c41da4bb52e/grid/?anchorId=9afc3327-6d99-4a0b-a779-82788e73e821
Security Hub Home,Favorites bar / MS / New folder,https://microsoft.seismic.com/apps/doccenter/ac87b24f-8f93-43d4-be30-469d80d63c18/doc/%252Fddede3166e-02c7-9b96-dd45-fabc8e27d5f4%252FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%252CPT0%253D%252CUG9ydGFsIEhvbWUgUGFnZQ%253D%253D%252Flfe5fc9d01-531c-4ba2-962e-4fb0ccc2696b/grid/
Education Industry Page,Favorites bar / MS,https://microsoft.seismic.com/apps/doccenter/539300da-09db-4317-a119-6c8f76482e8c/doc/%252Fdd2988569c-91e6-d974-ea17-2487b37a3f22%252FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%252CPT0%253D%252CU2Vpc21pYyBQYWdl%252Flfc327fe9e-b3a6-4ebe-aec2-f26ec68a8298/grid/?anchorId=13552288-82cc-4a7f-a014-1c98f8c6beac
Cross-Cloud - Trustworthy AI,Favorites bar / MS,https://microsoft.seismic.com/apps/doccenter/063a38f4-06e8-404d-bcfb-362e97a9acc3/doc/%252Flf633dec48-3977-4bf7-a28f-d3b04d8f9abd//?anchorId=c9d18a32-ab2e-44d0-a16c-552259d820ed
Cloud and AI Platforms Home Page,Favorites bar / MS,https://microsoft.seismic.com/apps/doccenter/a5266a70-9230-4c1e-a553-c5bddcb7a896/doc/%252Fdde0caec0e-9236-f21b-2991-5868e63d3984%252FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%252CPT0%253D%252CUG9ydGFsIEhvbWUgUGFnZQ%253D%253D%252Flf385720ef-26c8-470b-b9e7-8c8f2a439002/grid/?anchorId=82cd5b16-3919-4280-98fa-04e7efa647d5
Cloud and AI Platforms Field Communications,Favorites bar / MS,https://microsoft.seismic.com/apps/doccenter/a5266a70-9230-4c1e-a553-c5bddcb7a896/doc/%252Fdde0caec0e-9236-f21b-2991-5868e63d3984%252FdfYTZjNDRiZDMtMzEwZS1kNWZkLTNjOGEtNjliYWJjMjhmMmUw%252CPT0%253D%252CU2Vpc21pYyBQYWdl%252Flf327ff244-16c1-4020-836b-b2b7d7764817//
